epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,336.67,2.07708,2.84286,1.41293,0.46315,0.2548,0.23643,0.11491,1.91956,2.16117,1.29866,0.000277157,0.000277157,0.000277157
2,661.512,1.94379,2.16527,1.34064,0.52576,0.3166,0.28022,0.133,1.90501,2.00884,1.32876,0.000549331,0.000549331,0.000549331
3,978.81,1.94161,1.96521,1.34839,0.46058,0.36588,0.35156,0.17299,1.85999,1.85142,1.32419,0.000816007,0.000816007,0.000816007
4,1298.84,1.92832,1.85986,1.34374,0.45024,0.41784,0.38803,0.19035,1.87389,1.67888,1.33203,0.00080826,0.00080826,0.00080826
5,1613.51,1.90812,1.7851,1.33807,0.49907,0.446,0.43535,0.21101,1.87451,1.68315,1.33914,0.000800013,0.000800013,0.000800013
6,1922.75,1.90734,1.72139,1.34389,0.53848,0.4739,0.46943,0.2288,1.88022,1.62635,1.34271,0.000791767,0.000791767,0.000791767
7,2232.89,1.90451,1.70894,1.34202,0.47616,0.49077,0.4668,0.22706,1.86463,1.59357,1.34648,0.00078352,0.00078352,0.00078352
8,2553.9,1.88726,1.64506,1.33318,0.59635,0.503,0.53824,0.2626,1.88605,1.56801,1.35838,0.000775273,0.000775273,0.000775273
9,2867.59,1.87752,1.61055,1.3243,0.5749,0.50635,0.5121,0.24841,1.87096,1.54928,1.34841,0.000767026,0.000767026,0.000767026
10,3177.26,1.87102,1.61659,1.32873,0.59092,0.53395,0.55862,0.27347,1.83262,1.50153,1.3272,0.00075878,0.00075878,0.00075878
11,3513.57,1.8697,1.58883,1.32113,0.63343,0.49598,0.55373,0.26891,1.86003,1.50732,1.33732,0.000750533,0.000750533,0.000750533
12,3850.21,1.86017,1.56227,1.31535,0.62154,0.55439,0.58352,0.29299,1.85014,1.47398,1.32702,0.000742286,0.000742286,0.000742286
13,4186.41,1.85639,1.5395,1.32186,0.65553,0.53157,0.57772,0.27057,1.86257,1.47022,1.34869,0.00073404,0.00073404,0.00073404
14,4524.38,1.84675,1.51731,1.31347,0.66483,0.49841,0.55199,0.2697,1.86135,1.50858,1.32975,0.000725793,0.000725793,0.000725793
15,4882.7,1.84619,1.50161,1.31063,0.62091,0.56901,0.60887,0.28869,1.83592,1.42245,1.3234,0.000717546,0.000717546,0.000717546
16,5232.49,1.82698,1.48423,1.29829,0.61176,0.58117,0.62267,0.29407,1.84071,1.39606,1.3239,0.000709299,0.000709299,0.000709299
17,5591.06,1.83748,1.47787,1.30165,0.63666,0.59201,0.63815,0.30256,1.84233,1.40094,1.32576,0.000701053,0.000701053,0.000701053
18,5928.87,1.83305,1.44311,1.29816,0.76842,0.55635,0.64472,0.30291,1.84166,1.38481,1.32686,0.000692806,0.000692806,0.000692806
19,6268.01,1.82723,1.44442,1.29699,0.67669,0.56191,0.6317,0.30113,1.83928,1.42927,1.31999,0.000684559,0.000684559,0.000684559
20,6607.2,1.8246,1.43894,1.295,0.67498,0.58724,0.66753,0.31935,1.828,1.36257,1.32242,0.000676313,0.000676313,0.000676313
21,6944.95,1.82188,1.42754,1.29661,0.66819,0.5865,0.65296,0.30988,1.83838,1.37167,1.32165,0.000668066,0.000668066,0.000668066
22,7280.33,1.81509,1.40142,1.28514,0.71012,0.59152,0.66535,0.32044,1.84468,1.32842,1.32761,0.000659819,0.000659819,0.000659819
23,7620.05,1.81886,1.39571,1.28985,0.66996,0.63446,0.676,0.33629,1.8195,1.32109,1.31287,0.000651573,0.000651573,0.000651573
24,7966.45,1.79832,1.37072,1.28278,0.67864,0.59186,0.66404,0.3319,1.83157,1.32857,1.32209,0.000643326,0.000643326,0.000643326
25,8303.69,1.80259,1.36514,1.2864,0.66868,0.65937,0.6934,0.33142,1.83364,1.34233,1.32038,0.000635079,0.000635079,0.000635079
26,8641.09,1.79879,1.35733,1.28109,0.73303,0.63763,0.69542,0.33636,1.82902,1.29997,1.31863,0.000626832,0.000626832,0.000626832
27,11790.7,1.79942,1.34317,1.27879,0.74223,0.65124,0.72444,0.33627,1.82658,1.28014,1.31082,0.000618586,0.000618586,0.000618586
28,12165.1,1.79184,1.33782,1.28592,0.70965,0.63706,0.70751,0.34666,1.83451,1.31158,1.31794,0.000610339,0.000610339,0.000610339
29,12494.8,1.79693,1.33407,1.28009,0.74093,0.61387,0.68725,0.32993,1.83388,1.31834,1.31613,0.000602092,0.000602092,0.000602092
30,12846.6,1.78187,1.31407,1.27028,0.71451,0.67166,0.72876,0.3519,1.81393,1.2635,1.30831,0.000593846,0.000593846,0.000593846
31,13176.2,1.78548,1.29605,1.27254,0.75628,0.63737,0.71399,0.35029,1.82482,1.27265,1.3152,0.000585599,0.000585599,0.000585599
